class_ids,detic_classes,remapped_classes
1179,whipped_cream,food
1180,whistle,sports_equipment
1181,wig,hat
1182,wind_chime,other
1183,windmill,other
1184,window_box_(for_plants),house_fixtures
1185,windshield_wiper,other
1186,windsock,other
1187,wine_bottle,drinkware
1188,wine_bucket,drinkware
1189,wineglass,drinkware
1190,blinder_(for_horses),other
1191,wok,kitchen_utensils
1192,wolf,animal
1193,wooden_spoon,kitchen_utensils
1194,wreath,other
1195,wrench,home_appliance_tool
1196,wristband,clothing_accessory
1197,wristlet,clothing_accessory
1198,yacht,other
1199,yogurt,food
1200,yoke_(animal_equipment),other
1201,zebra,animal
1202,zucchini,food
